J-Date,Date,Weekday,Open,High,Low,Close
1390-11-15,2012-02-04,Saturday,18500,18500,18500,18500
1390-11-16,2012-02-05,Sunday,18800,18800,18800,18800
1390-11-17,2012-02-06,Monday,18900,18900,18900,18900
1390-11-18,2012-02-07,Tuesday,19200,19200,19200,19200
1390-11-22,2012-02-11,Saturday,19400,19400,19400,19400
1390-11-23,2012-02-12,Sunday,19000,19000,19000,19000
1390-11-24,2012-02-13,Monday,19350,19350,19350,19350
1390-11-25,2012-02-14,Tuesday,19500,19500,19500,19500
1390-11-26,2012-02-15,Wednesday,19600,19600,19600,19600
1390-11-28,2012-02-17,Friday,19400,19400,19400,19400
1390-11-29,2012-02-18,Saturday,19200,19200,19200,19200
1390-11-30,2012-02-19,Sunday,19400,19400,19400,19400
1390-12-01,2012-02-20,Monday,19450,19450,19450,19450
1390-12-02,2012-02-21,Tuesday,19350,19350,19350,19350
1390-12-03,2012-02-22,Wednesday,19350,19350,19350,19350
1390-12-06,2012-02-25,Saturday,19300,19300,19300,19300
1390-12-07,2012-02-26,Sunday,18700,18700,18700,18700
1390-12-08,2012-02-27,Monday,18500,18500,18500,18500
1390-12-09,2012-02-28,Tuesday,19200,19200,19200,19200
1390-12-10,2012-02-29,Wednesday,19250,19250,19250,19250
1390-12-12,2012-03-02,Friday,19250,19250,19250,19250
1390-12-13,2012-03-03,Saturday,19000,19000,19000,19000
1390-12-14,2012-03-04,Sunday,19100,19100,19100,19100
1390-12-15,2012-03-05,Monday,18950,18950,18950,18950
1390-12-16,2012-03-06,Tuesday,18850,18850,18850,18850
1390-12-17,2012-03-07,Wednesday,19000,19000,19000,19000
1390-12-19,2012-03-09,Friday,18800,18800,18800,18800
1390-12-20,2012-03-10,Saturday,18700,18700,18700,18700
1390-12-21,2012-03-11,Sunday,18850,18850,18850,18850
1390-12-22,2012-03-12,Monday,18800,18800,18800,18800
1390-12-23,2012-03-13,Tuesday,18600,18600,18600,18600
1390-12-24,2012-03-14,Wednesday,18500,18500,18500,18500
1390-12-26,2012-03-16,Friday,19250,19250,19250,19250
1390-12-27,2012-03-17,Saturday,19150,19150,19150,19150
1391-01-05,2012-03-24,Saturday,18900,18900,18900,18900
